,Video file,Organ,Finding,Classification
31,0692c51f-cfaf-4bb1-9630-cd2a33770c38,Upper GI,pylorus,anatomical-landmarks
32,06932bad-5b46-44be-ae28-814e9fede9c4,Upper GI,pylorus,anatomical-landmarks
33,06b39288-e511-40fd-b9a6-2339d7233ae7,Upper GI,pylorus,anatomical-landmarks
34,06b74824-ce90-46b7-8e8e-40a0ed958958,Upper GI,pylorus,anatomical-landmarks
35,07382397-cd27-4d0d-a504-7f35ecae32d7,Upper GI,pylorus,anatomical-landmarks
36,082023f2-f2ce-4477-9620-19c91bf128da,Upper GI,pylorus,anatomical-landmarks
37,0836ce65-3d69-41cb-acba-0a610af93294,Upper GI,pylorus,anatomical-landmarks
38,088bc058-a6f1-4d23-b229-8ed9072fca1c,Upper GI,pylorus,anatomical-landmarks
39,089369e5-3c43-4287-bd75-dab58045ecb4,Upper GI,pylorus,anatomical-landmarks
40,09103f08-4988-45ef-8642-d242c1747ab4,Upper GI,pylorus,anatomical-landmarks
41,0954e968-8053-46ea-941c-33ff8b854bc9,Upper GI,pylorus,anatomical-landmarks
42,0a2ed767-ac9e-4922-b25c-9eb3dae85f66,Upper GI,pylorus,anatomical-landmarks
43,0a4da2f9-0494-4dc7-86f3-54d0e45c16fb,Upper GI,pylorus,anatomical-landmarks
44,0a50752b-a575-4546-b50f-99e9ddb84bc4,Upper GI,pylorus,anatomical-landmarks
45,0ac5621b-0c83-4478-9028-77c15cd7aac3,Upper GI,pylorus,anatomical-landmarks
46,0b06f801-2700-4bb6-8833-9d01f27bea70,Upper GI,pylorus,anatomical-landmarks
47,0b7836c4-f965-4143-bbcf-0ffc7434c1bc,Upper GI,pylorus,anatomical-landmarks
48,0b90e73c-e0aa-4bb1-96a5-8422d85b0457,Upper GI,pylorus,anatomical-landmarks
49,0be97ca3-d862-4ff5-98ef-df9931d6b9a5,Upper GI,pylorus,anatomical-landmarks
50,0c33525a-525f-43f5-a19f-0200e7bbe602,Upper GI,pylorus,anatomical-landmarks
51,0ccc2f77-005e-4192-b0ad-53280765537b,Upper GI,pylorus,anatomical-landmarks
52,0d4ba420-cb5c-4d3d-b3fa-d6cbcd6dd3fb,Upper GI,pylorus,anatomical-landmarks
53,0d646ba9-d7d6-43c9-bd2a-f01858465ca3,Upper GI,pylorus,anatomical-landmarks
54,0dd3b95b-1b94-4bac-b270-5e8dc32caeda,Upper GI,pylorus,anatomical-landmarks
55,0def51a7-152b-438c-a412-4cc506d390d5,Upper GI,pylorus,anatomical-landmarks
56,0df14d3b-2f4b-4d4b-8ede-f5c5a06b81ce,Upper GI,pylorus,anatomical-landmarks
57,0e223a15-4d3f-4b95-9f69-6e1985306943,Upper GI,pylorus,anatomical-landmarks
58,0e57fea8-3ac9-47b3-bbd8-028b489c330d,Upper GI,pylorus,anatomical-landmarks
59,0ed1b724-f317-4809-b4e7-0bf28f543a4d,Upper GI,pylorus,anatomical-landmarks
60,0f0a9c5c-25d9-473c-893d-8e9d89d45643,Upper GI,pylorus,anatomical-landmarks
61,0f134090-5967-44d0-886f-eae91e2bc04a,Upper GI,pylorus,anatomical-landmarks
62,0f240613-55d3-4bb8-851c-2af253e972f9,Upper GI,pylorus,anatomical-landmarks
63,0f3aebde-22bf-44de-947e-6d48f2a46b33,Upper GI,pylorus,anatomical-landmarks
64,0f426da0-e779-474f-92b3-cb73092af1ac,Upper GI,pylorus,anatomical-landmarks
65,0f75325f-9ddc-4c46-a2ed-e23860256cf7,Upper GI,pylorus,anatomical-landmarks
66,0fa388ff-ce9d-4e7b-b297-a9a43909e5ef,Upper GI,pylorus,anatomical-landmarks
67,0fc0407c-715a-4e76-8ed1-502c2567f511,Upper GI,pylorus,anatomical-landmarks
68,101956f5-cfbf-46a1-8961-7c47d243355b,Upper GI,pylorus,anatomical-landmarks
69,1047c7af-d0c8-42f0-8825-929451659ced,Upper GI,pylorus,anatomical-landmarks
70,105bd1f5-d4d1-4be7-aad7-a3efe0f52125,Upper GI,pylorus,anatomical-landmarks
71,109d6b3b-a625-4d5b-b758-73f9261bfb7e,Upper GI,pylorus,anatomical-landmarks
72,10b8f500-e68a-4e4b-8582-20bb52d4678f,Upper GI,pylorus,anatomical-landmarks
73,111b4433-d6e2-459b-b219-b115ef977f5c,Upper GI,pylorus,anatomical-landmarks
74,1150a459-915d-4f0d-941d-dcc8cd24d0ab,Upper GI,pylorus,anatomical-landmarks
75,115ef76e-ac72-45a8-bf3a-54675c9fc56f,Upper GI,pylorus,anatomical-landmarks
76,12457ae4-bbee-4880-babd-278998b93201,Upper GI,pylorus,anatomical-landmarks
77,126a1be7-a7f6-451b-91c1-7bb32a0f7e69,Upper GI,pylorus,anatomical-landmarks
78,1280ed76-434e-4813-ac75-39d2ba2a40e1,Upper GI,pylorus,anatomical-landmarks
79,13a6a951-55b5-4ade-a6af-ae51618d7ee0,Upper GI,pylorus,anatomical-landmarks
80,13b42359-8510-4788-b7ec-1a54f21cec32,Upper GI,pylorus,anatomical-landmarks
81,144f5a33-c54f-4a6e-aae2-fd2daf7bf732,Upper GI,pylorus,anatomical-landmarks
82,1467495a-793b-47cb-b957-787670f81468,Upper GI,pylorus,anatomical-landmarks
83,149f4233-9fed-434e-ba38-904ddb112089,Upper GI,pylorus,anatomical-landmarks
84,14bff06b-64b4-448b-b1a1-354dc6562745,Upper GI,pylorus,anatomical-landmarks
85,14cba6dc-62b5-42d2-bee8-d9295c3d38e6,Upper GI,pylorus,anatomical-landmarks
86,14df5392-6517-407b-a167-b3fb3a47fcd7,Upper GI,pylorus,anatomical-landmarks
87,14ec225e-56b4-454b-a486-0753422b0c09,Upper GI,pylorus,anatomical-landmarks
88,151b8a13-f928-4017-8c60-83b5a7e062dc,Upper GI,pylorus,anatomical-landmarks
89,156f791d-4503-4f89-a946-199594da0113,Upper GI,pylorus,anatomical-landmarks
90,168bf749-5f69-4b7b-a5a5-ba82a4091a51,Upper GI,pylorus,anatomical-landmarks
91,16f67f44-f5bc-42e6-a9d9-907ff620c160,Upper GI,pylorus,anatomical-landmarks
92,16f7dbc1-8404-4876-8ba9-34b27d2b45a7,Upper GI,pylorus,anatomical-landmarks
93,17085470-9053-41d2-b13d-79e96b747532,Upper GI,pylorus,anatomical-landmarks
94,17362abb-75d0-40f1-8238-1a4892afd25e,Upper GI,pylorus,anatomical-landmarks
95,1759ec52-1d31-4fa7-95c1-d1fe567ac87e,Upper GI,pylorus,anatomical-landmarks
96,17eb9aff-1f29-4713-97ca-67cb32abdb2d,Upper GI,pylorus,anatomical-landmarks
97,181356c5-0e04-442d-9b5a-e72a39f5157b,Upper GI,pylorus,anatomical-landmarks
98,18c5d5c3-5d52-4542-85ef-11d0514dbda9,Upper GI,pylorus,anatomical-landmarks
99,18fcbbb3-0557-4ae4-87f3-86254844d0ef,Upper GI,pylorus,anatomical-landmarks
100,191fb157-d2f6-4a32-b814-feddce8c333d,Upper GI,pylorus,anatomical-landmarks
101,1925bf1c-feb7-4e68-b121-68708826b8f7,Upper GI,pylorus,anatomical-landmarks
102,1977d4ed-9021-43b9-a3f2-91166dfffb48,Upper GI,pylorus,anatomical-landmarks
103,1983c172-97d8-4a0f-9800-23ae2f67a352,Upper GI,pylorus,anatomical-landmarks
104,19f4a6b6-7f39-43a7-8250-b516ed511d21,Upper GI,pylorus,anatomical-landmarks
105,1ac370a1-ef82-4441-9790-8ec60215ce17,Upper GI,pylorus,anatomical-landmarks
106,1ad785a2-90b6-46f7-a07d-2fb3526dd4d3,Upper GI,pylorus,anatomical-landmarks
107,1ae80a92-8fb7-42c7-985d-0b8c05fdc107,Upper GI,pylorus,anatomical-landmarks
108,1b18f185-e850-4ffe-9fcf-4bc2c90a7148,Upper GI,pylorus,anatomical-landmarks
109,1be4dec1-052a-44b3-a065-8bc6a1f02e1c,Upper GI,pylorus,anatomical-landmarks
110,1c352ff7-ef0a-4b91-80c9-85bc44abaa61,Upper GI,pylorus,anatomical-landmarks
111,1c511396-d193-4b2f-b594-c36c6637051c,Upper GI,pylorus,anatomical-landmarks
112,1cd4025e-7fe4-4020-bdee-5aaa818cba51,Upper GI,pylorus,anatomical-landmarks
113,1d03bce6-f229-419a-9843-6e97b00bd3f2,Upper GI,pylorus,anatomical-landmarks
114,1d0d4243-e217-46a4-8bc2-da88e2a3b343,Upper GI,pylorus,anatomical-landmarks
115,1d8eaa32-0a98-4842-ad11-144b60a3682d,Upper GI,pylorus,anatomical-landmarks
116,1da31358-9b48-4df9-97ab-84dec3161184,Upper GI,pylorus,anatomical-landmarks
117,1dbf6522-c20b-45bd-83c9-c87e765b014e,Upper GI,pylorus,anatomical-landmarks
118,1e3776d5-9cef-4da4-8cf0-2359b997d691,Upper GI,pylorus,anatomical-landmarks
119,1e6438ad-bd6a-49fd-a4e5-f360e2038754,Upper GI,pylorus,anatomical-landmarks
120,1e74cd5a-ed59-4fa4-b3c9-e485a8bb0edd,Upper GI,pylorus,anatomical-landmarks
121,1e8fd434-336a-4ca3-8bc1-4145902b8785,Upper GI,pylorus,anatomical-landmarks
122,1e94f2dc-d687-418c-b064-b5da4fc8eec2,Upper GI,pylorus,anatomical-landmarks
123,1eb2d9dd-212e-400b-a1cf-7ef50dbfd8d7,Upper GI,pylorus,anatomical-landmarks
124,1f34767f-056b-47cc-9b98-5ad4784d5253,Upper GI,pylorus,anatomical-landmarks
125,1f4b91e5-3b77-4c3e-b96c-1899016cd6e4,Upper GI,pylorus,anatomical-landmarks
126,1f4bb48a-c227-4ce4-b4f0-7384f978dd2d,Upper GI,pylorus,anatomical-landmarks
127,1f670f57-5d22-4943-bc10-b37692e5df20,Upper GI,pylorus,anatomical-landmarks
128,1ffdf409-a4ee-48cb-8ac6-2ff6ef46d054,Upper GI,pylorus,anatomical-landmarks
129,20415725-e0f8-47de-97f1-fee60d6c3647,Upper GI,pylorus,anatomical-landmarks
130,21292b8c-308d-4a48-9bde-41b1318f0023,Upper GI,pylorus,anatomical-landmarks
131,213f3010-239d-494b-8984-6c26d84b44e4,Upper GI,pylorus,anatomical-landmarks
132,213fa013-adba-4151-9103-5f61e5585a30,Upper GI,pylorus,anatomical-landmarks
133,21a82538-f405-4277-8505-c6d67a27a353,Upper GI,pylorus,anatomical-landmarks
134,21dd1d3a-5154-48d4-8954-818bbdec9e9f,Upper GI,pylorus,anatomical-landmarks
135,21ebf27b-bec7-4596-9524-17c37c45a479,Upper GI,pylorus,anatomical-landmarks
136,21eeb81a-6ea2-494b-82ac-5bea7e971fb6,Upper GI,pylorus,anatomical-landmarks
137,21fe022c-e61c-43a2-8ec6-88b6e8d7ffc3,Upper GI,pylorus,anatomical-landmarks
138,220eb95c-d8ab-4784-b2e6-0acdc47d1eeb,Upper GI,pylorus,anatomical-landmarks
139,227ab1a9-df29-477d-a48c-ede8aa7e7965,Upper GI,pylorus,anatomical-landmarks
140,227b747c-5945-4526-8b8c-11d017a319de,Upper GI,pylorus,anatomical-landmarks
141,22c8f6a7-443c-4dbe-9135-f8f351f63a2d,Upper GI,pylorus,anatomical-landmarks
142,22e22d6c-9b9d-4d97-9107-1ecf6a3f8d9a,Upper GI,pylorus,anatomical-landmarks
143,2302a460-f632-4e9a-a56b-1a6e27bcf53e,Upper GI,pylorus,anatomical-landmarks
144,23426e3f-3f8b-4e51-8e3a-36aa06057e51,Upper GI,pylorus,anatomical-landmarks
145,238c00f2-8fd2-445e-826a-25b611d8b6f7,Upper GI,pylorus,anatomical-landmarks
146,2397b2c4-4b63-474e-9441-847002d5a5a8,Upper GI,pylorus,anatomical-landmarks
147,239f4c49-0f60-43bb-a0bd-b659861093ab,Upper GI,pylorus,anatomical-landmarks
148,23d58f2f-00eb-469c-883b-88e64c3de538,Upper GI,pylorus,anatomical-landmarks
149,23e74576-ebb7-48dd-9e57-4f5507f35248,Upper GI,pylorus,anatomical-landmarks
150,23fc3529-951b-4f7f-8598-13fc5fec6050,Upper GI,pylorus,anatomical-landmarks
151,244aae58-2b81-44fd-a7bc-6e2e09df301a,Upper GI,pylorus,anatomical-landmarks
152,2465ef58-603c-494d-a473-3a84d0e31405,Upper GI,pylorus,anatomical-landmarks
153,24a26fd1-545b-4085-b8bf-529af684e5f0,Upper GI,pylorus,anatomical-landmarks
154,24a27072-6cf9-4c55-a2fc-bed5ab817bee,Upper GI,pylorus,anatomical-landmarks
155,251b0b06-9110-46e3-9d4e-5c23e35a7a59,Upper GI,pylorus,anatomical-landmarks
156,2525c055-398e-40a3-ad17-44fdc1974456,Upper GI,pylorus,anatomical-landmarks
157,26226ca1-36de-4216-be4c-526f5e7eb08c,Upper GI,pylorus,anatomical-landmarks
158,267a1318-c09f-4b5a-92c0-6d9dda88a1a9,Upper GI,pylorus,anatomical-landmarks
159,273945e5-670b-4266-8789-304cd8a83b4b,Upper GI,pylorus,anatomical-landmarks
160,2746384e-e061-4df3-a9eb-93e8c291b8f7,Upper GI,pylorus,anatomical-landmarks
161,277416b6-cf3e-45dd-ae55-d1583128cb91,Upper GI,pylorus,anatomical-landmarks
162,279063c3-2e5f-485b-9a95-3b975def43b7,Upper GI,pylorus,anatomical-landmarks
163,279c2225-3790-4233-bbb8-0300234b4a84,Upper GI,pylorus,anatomical-landmarks
164,27bdd16f-3ba4-41a2-909e-235295a9f2ad,Upper GI,pylorus,anatomical-landmarks
165,27c94e82-6c07-4e20-97ce-0bdb4c46e9f6,Upper GI,pylorus,anatomical-landmarks
166,2805e9d6-4361-42c8-8f71-761b58675c4c,Upper GI,pylorus,anatomical-landmarks
167,285af6a5-589f-48c6-9140-fee35bc9a2ab,Upper GI,pylorus,anatomical-landmarks
168,28887dd2-c624-477f-aba0-bc4b359175f7,Upper GI,pylorus,anatomical-landmarks
169,28cc80f9-0394-4eb0-a7bd-7fd79375bd7b,Upper GI,pylorus,anatomical-landmarks
170,296a95e8-732f-4bc2-ab32-e4bbdd164676,Upper GI,pylorus,anatomical-landmarks
171,29cc5b1d-c40a-485d-a0e4-2da3441c8ca8,Upper GI,pylorus,anatomical-landmarks
172,29cdf346-6c21-4e19-801c-7a5a608528ec,Upper GI,pylorus,anatomical-landmarks
173,29d187e5-c495-4d27-878a-825b2fb7c316,Upper GI,pylorus,anatomical-landmarks
174,2a169147-728d-41b7-b437-fe5efea170bf,Upper GI,pylorus,anatomical-landmarks
175,2a7d5c3a-0183-4b89-b35a-ecfcde75c900,Upper GI,pylorus,anatomical-landmarks
176,2a97f253-4faf-4cd2-bc18-240dcf3e5351,Upper GI,pylorus,anatomical-landmarks
177,2b0fc829-cb0e-43e4-a588-46af8961d4ba,Upper GI,pylorus,anatomical-landmarks
178,2b555bf5-bad3-4af2-b265-94fb2b80b546,Upper GI,pylorus,anatomical-landmarks
179,2b583909-3fd6-4812-8f64-3c09c35c3e50,Upper GI,pylorus,anatomical-landmarks
180,2b9a7860-44a4-492a-8f80-4cd950393864,Upper GI,pylorus,anatomical-landmarks
181,2bb3d4ac-9791-491a-aaa3-1c52fc122f30,Upper GI,pylorus,anatomical-landmarks
182,2c0f3d23-b216-4aea-b04b-f1e0daea2edc,Upper GI,pylorus,anatomical-landmarks
183,2c12d6c0-1d00-4508-891f-1ce7567e8902,Upper GI,pylorus,anatomical-landmarks
184,2c546dd9-b493-44be-a276-3c0265244198,Upper GI,pylorus,anatomical-landmarks
185,2c862823-89b5-44b3-bd2f-ff175175c5e5,Upper GI,pylorus,anatomical-landmarks
186,2cc29f7a-c8ce-4160-8b6a-d2856ecdb4b0,Upper GI,pylorus,anatomical-landmarks
187,2cc309e6-ca2b-4000-b665-3c848a6ea758,Upper GI,pylorus,anatomical-landmarks
188,2cefbd16-317c-4d77-943c-1cdc30c28b78,Upper GI,pylorus,anatomical-landmarks
189,2cfd377a-a24f-40f2-8cda-c4a025de30e9,Upper GI,pylorus,anatomical-landmarks
190,2d5031c7-d7e0-4c7a-8b22-23c4d0c340db,Upper GI,pylorus,anatomical-landmarks
191,2d5266f6-9ef4-486a-b6a7-ab9171caeeea,Upper GI,pylorus,anatomical-landmarks
192,2d5fa59c-95b2-486a-b22c-a32260da71b8,Upper GI,pylorus,anatomical-landmarks
193,2d892ec6-5a4e-4eb0-b4a0-6ef0b7b7dd18,Upper GI,pylorus,anatomical-landmarks
194,2dda4cc9-610f-4fec-a1b3-6bdeafb90cf6,Upper GI,pylorus,anatomical-landmarks
195,2e2d4dea-720c-49ef-b26c-7d41b19c111d,Upper GI,pylorus,anatomical-landmarks
196,2e62025e-62b4-4959-a50c-f631054146e8,Upper GI,pylorus,anatomical-landmarks
197,2ec7c692-cb39-419d-a09d-7edda9a42dcd,Upper GI,pylorus,anatomical-landmarks
198,2eec197b-6453-4366-acc3-e3790d86ebe0,Upper GI,pylorus,anatomical-landmarks
199,2f02418a-8026-454c-95ab-edea6f5a84be,Upper GI,pylorus,anatomical-landmarks
200,2f216f79-2f37-46d7-b78e-c17d3923b243,Upper GI,pylorus,anatomical-landmarks
201,301c7490-d600-463e-a947-ddcd3588689b,Upper GI,pylorus,anatomical-landmarks
202,308a467c-a655-4ce6-bfbc-c94d4be1c81e,Upper GI,pylorus,anatomical-landmarks
203,30bfd74d-57b9-4422-841f-802ddd7d6f28,Upper GI,pylorus,anatomical-landmarks
204,31c334ca-15ad-4751-8c4c-4509384ed11e,Upper GI,pylorus,anatomical-landmarks
205,31c99927-0f18-41ae-ab1e-74c2e87b1988,Upper GI,pylorus,anatomical-landmarks
206,320adab5-ef79-4c62-8b89-5b6cd3e9176f,Upper GI,pylorus,anatomical-landmarks
207,3248eaec-fab1-4904-8f94-014ef1ffa16e,Upper GI,pylorus,anatomical-landmarks
208,32556b33-1838-4d7c-b030-028ce17c3f7f,Upper GI,pylorus,anatomical-landmarks
209,329755d1-7a7d-48be-a1eb-ed9a2521bf2b,Upper GI,pylorus,anatomical-landmarks
210,32d40442-3eb7-49b1-9742-38f428919348,Upper GI,pylorus,anatomical-landmarks
211,32f60368-b44b-4640-be08-be93728b35b3,Upper GI,pylorus,anatomical-landmarks
212,336624f7-e649-452d-9631-2b667574f67d,Upper GI,pylorus,anatomical-landmarks
213,338da4dd-2b01-4061-adc6-0d2c05668ae2,Upper GI,pylorus,anatomical-landmarks
214,33a80772-fa0c-45b9-8ebe-a264bc13be69,Upper GI,pylorus,anatomical-landmarks
215,34978a78-7cd9-4b65-b29a-1d97eca71618,Upper GI,pylorus,anatomical-landmarks
216,350f84e2-2bf9-4638-a76c-1dff441db6c6,Upper GI,pylorus,anatomical-landmarks
217,35aa3088-da21-4d5c-bd87-eebb5f842dcc,Upper GI,pylorus,anatomical-landmarks
218,35cd0c3d-eb98-4727-a317-4545ac95836b,Upper GI,pylorus,anatomical-landmarks
219,35f43c08-e73a-4ad5-837c-fb3674f9e054,Upper GI,pylorus,anatomical-landmarks
220,35fa0e57-ab63-4ea9-84df-9c049819ba80,Upper GI,pylorus,anatomical-landmarks
221,36ccaf2c-9e05-4b62-a170-c7e0a12dbd4a,Upper GI,pylorus,anatomical-landmarks
222,36d8dda9-178b-43d4-9f1f-f650f8c522a1,Upper GI,pylorus,anatomical-landmarks
223,3763079a-bdfd-4e26-8241-b6a084ca5898,Upper GI,pylorus,anatomical-landmarks
224,37c03ca7-05e0-414a-8e6f-ec192bb33084,Upper GI,pylorus,anatomical-landmarks
225,37eca909-c551-42af-bed1-187a73ba86a4,Upper GI,pylorus,anatomical-landmarks
226,37f4b5d7-b99d-482f-9774-e5cc5316bd7b,Upper GI,pylorus,anatomical-landmarks
227,380f5885-a911-4354-afbe-96af7d4bbf54,Upper GI,pylorus,anatomical-landmarks
228,382ec678-a38b-4db5-8a3d-6f8a0da5d89b,Upper GI,pylorus,anatomical-landmarks
229,383ac392-85ef-4c21-8966-9440516b5c01,Upper GI,pylorus,anatomical-landmarks
230,3875e3a7-8c2b-4b8a-bf77-8d8ed66d2a75,Upper GI,pylorus,anatomical-landmarks
231,39118169-61d9-40b8-8440-7ec3162316b8,Upper GI,pylorus,anatomical-landmarks
232,39168203-15e6-46fa-9248-cd313f9c23cd,Upper GI,pylorus,anatomical-landmarks
233,394f3c3c-0d9d-4dd7-a7ec-89d25c804992,Upper GI,pylorus,anatomical-landmarks
234,3a415588-4b63-4ad1-87a5-3f586a9fb7fb,Upper GI,pylorus,anatomical-landmarks
235,3ac82363-ce7c-4280-946f-7b30a9411fd0,Upper GI,pylorus,anatomical-landmarks
236,3b1f39d4-9684-48a2-9d2e-4dc5b1747b07,Upper GI,pylorus,anatomical-landmarks
237,3b29cd58-20b4-4358-8a92-04735c222bf5,Upper GI,pylorus,anatomical-landmarks
238,3b55c43b-7161-43c4-a493-7a5c1e33cba1,Upper GI,pylorus,anatomical-landmarks
239,3bd8a7c7-1862-4ffc-8b09-7aeb4ebbd89a,Upper GI,pylorus,anatomical-landmarks
240,3c304b0d-f296-4fb7-8d3f-3d76e0d017bd,Upper GI,pylorus,anatomical-landmarks
241,3c83d7e7-305f-490f-b0fb-e774ed35e87a,Upper GI,pylorus,anatomical-landmarks
242,3cb02968-8ecf-48dc-8534-c9a4dcf11e6b,Upper GI,pylorus,anatomical-landmarks
243,3d003de6-b089-4eac-83ca-cb807021c656,Upper GI,pylorus,anatomical-landmarks
244,3d4b1f59-4189-451c-82a5-f86e39b3589d,Upper GI,pylorus,anatomical-landmarks
245,3de5c88a-5d41-40c4-ae81-eeeb295bfae9,Upper GI,pylorus,anatomical-landmarks
246,3df63249-fc5d-49e9-8075-7c99ed28ab33,Upper GI,pylorus,anatomical-landmarks
247,3e0451f6-0641-4d51-8d85-6555f86ef87f,Upper GI,pylorus,anatomical-landmarks
248,3e16956b-465b-4168-9840-cfabcbf65bf9,Upper GI,pylorus,anatomical-landmarks
249,3eb0b69b-14a5-4e88-ac73-644dbeeb0ec5,Upper GI,pylorus,anatomical-landmarks
250,3ec09177-88e2-4273-a0f1-76b20eeabd86,Upper GI,pylorus,anatomical-landmarks
251,3ed57d89-f560-400e-8b23-db5982e70a4d,Upper GI,pylorus,anatomical-landmarks
252,3ed6fdc9-9419-4691-9972-813a44d338db,Upper GI,pylorus,anatomical-landmarks
253,3feaa1e8-b6cc-45a7-8a59-54c3990b25c2,Upper GI,pylorus,anatomical-landmarks
254,403454ed-a939-4d54-b610-42b5f6057a53,Upper GI,pylorus,anatomical-landmarks
255,4044d37d-1688-4d27-a83c-4c47776acfc7,Upper GI,pylorus,anatomical-landmarks
256,411908f8-9657-4015-a248-256d575744ed,Upper GI,pylorus,anatomical-landmarks
257,412cb571-2aaf-4dc6-9ae2-7226fd839a29,Upper GI,pylorus,anatomical-landmarks
258,416745dc-8736-4b49-81da-bd53e4ac3fe3,Upper GI,pylorus,anatomical-landmarks
259,4187beed-f828-47ac-9874-22193983f39e,Upper GI,pylorus,anatomical-landmarks
260,41dd7d7b-c6c8-4afb-93c0-800c7fd57a8c,Upper GI,pylorus,anatomical-landmarks
261,41ea31a1-919e-45c5-98ab-b0459b03bf91,Upper GI,pylorus,anatomical-landmarks
262,42291512-7c14-48e6-9fcb-83db136019af,Upper GI,pylorus,anatomical-landmarks
263,433c07ad-2db4-419f-bca2-21d902dbf296,Upper GI,pylorus,anatomical-landmarks
264,43642f89-7e6e-4da4-9714-557d1392ce31,Upper GI,pylorus,anatomical-landmarks
265,436b5359-992d-4ecc-aaf1-1c5195ab3744,Upper GI,pylorus,anatomical-landmarks
266,437acfc5-efc4-4269-8907-db7367880016,Upper GI,pylorus,anatomical-landmarks
267,43996c35-ffff-4271-9753-9ca80eff9bbc,Upper GI,pylorus,anatomical-landmarks
268,43fec529-86a8-42fc-8e67-f582546a2e78,Upper GI,pylorus,anatomical-landmarks
269,4463b81f-4caa-4c67-aa52-4fabe04a5ca6,Upper GI,pylorus,anatomical-landmarks
270,446edda6-70ab-4f63-8d7d-f6bc610bb67b,Upper GI,pylorus,anatomical-landmarks
271,448d7435-8f40-4b5d-84f6-d4d572c86dca,Upper GI,pylorus,anatomical-landmarks
272,44eb0e0a-4399-4538-8319-abfac8e8da80,Upper GI,pylorus,anatomical-landmarks
273,4577fa1c-3a25-423e-bcb4-7b3e297147aa,Upper GI,pylorus,anatomical-landmarks
274,4605206f-5da1-47d2-9c98-a5779d295251,Upper GI,pylorus,anatomical-landmarks
275,4651ded5-09c3-40ec-9ed0-e45fdadcd591,Upper GI,pylorus,anatomical-landmarks
276,46b8a660-d4a5-4063-b910-a550c7b03bcc,Upper GI,pylorus,anatomical-landmarks
277,4712a94f-8163-42a6-a324-47f5cb98c3fc,Upper GI,pylorus,anatomical-landmarks
278,475df3ff-c6b6-4179-9b44-a50831c135ff,Upper GI,pylorus,anatomical-landmarks
